model,split_label,val_acc,val_f1,energy_uJ,n_params,train_time_s,subject,repeat,fold
ATCNet,subj1_rep0_fold0,0.8966,0.8949,62.407795,29155,49.2,1,0,0
ATCNet,subj1_rep0_fold1,0.8851,0.8842,62.407795,29155,48.2,1,0,1
ATCNet,subj1_rep0_fold2,0.8605,0.8581,62.407795,29155,56.6,1,0,2
ATCNet,subj1_rep0_fold3,0.8953,0.8963,62.407795,29155,46.4,1,0,3
ATCNet,subj1_rep0_fold4,0.8953,0.8954,62.407795,29155,59.3,1,0,4
ATCNet,subj1_rep1_fold0,0.8736,0.8685,62.407795,29155,55.1,1,1,0
ATCNet,subj1_rep1_fold1,0.8621,0.8623,62.407795,29155,43.4,1,1,1
ATCNet,subj1_rep1_fold2,0.907,0.905,62.407795,29155,61.6,1,1,2
ATCNet,subj1_rep1_fold3,0.9302,0.9307,62.407795,29155,76.5,1,1,3
ATCNet,subj1_rep1_fold4,0.814,0.8085,62.407795,29155,45.4,1,1,4
ATCNet,subj1_rep2_fold0,0.8621,0.8621,62.407795,29155,65.5,1,2,0
ATCNet,subj1_rep2_fold1,0.8506,0.849,62.407795,29155,51.7,1,2,1
ATCNet,subj1_rep2_fold2,0.907,0.9063,62.407795,29155,59.8,1,2,2
ATCNet,subj1_rep2_fold3,0.8837,0.8838,62.407795,29155,44.4,1,2,3
ATCNet,subj1_rep2_fold4,0.9302,0.9292,62.407795,29155,88.3,1,2,4
ATCNet,subj1_rep3_fold0,0.9195,0.9181,62.407795,29155,61.5,1,3,0
ATCNet,subj1_rep3_fold1,0.8506,0.8489,62.407795,29155,59.1,1,3,1
ATCNet,subj1_rep3_fold2,0.9186,0.9177,62.407795,29155,48.4,1,3,2
ATCNet,subj1_rep3_fold3,0.8488,0.85,62.407795,29155,35.0,1,3,3
ATCNet,subj1_rep3_fold4,0.8953,0.8951,62.407795,29155,68.6,1,3,4
ATCNet,subj1_rep4_fold0,0.8276,0.819,62.407795,29155,48.6,1,4,0
ATCNet,subj1_rep4_fold1,0.9195,0.9199,62.407795,29155,56.2,1,4,1
ATCNet,subj1_rep4_fold2,0.8953,0.895,62.407795,29155,47.3,1,4,2
ATCNet,subj1_rep4_fold3,0.8721,0.8696,62.407795,29155,58.5,1,4,3
ATCNet,subj1_rep4_fold4,0.9302,0.93,62.407795,29155,52.2,1,4,4
ATCNet,subj2_rep0_fold0,0.7356,0.722,62.407795,29155,64.8,2,0,0
ATCNet,subj2_rep0_fold1,0.7241,0.7175,62.407795,29155,72.1,2,0,1
ATCNet,subj2_rep0_fold2,0.686,0.6725,62.407795,29155,84.9,2,0,2
ATCNet,subj2_rep0_fold3,0.686,0.6774,62.407795,29155,100.7,2,0,3
ATCNet,subj2_rep0_fold4,0.7209,0.7233,62.407795,29155,88.1,2,0,4
ATCNet,subj2_rep1_fold0,0.6897,0.6669,62.407795,29155,102.3,2,1,0
ATCNet,subj2_rep1_fold1,0.7011,0.6957,62.407795,29155,90.9,2,1,1
ATCNet,subj2_rep1_fold2,0.6279,0.5902,62.407795,29155,47.2,2,1,2
ATCNet,subj2_rep1_fold3,0.6977,0.6813,62.407795,29155,77.2,2,1,3
ATCNet,subj2_rep1_fold4,0.6512,0.6431,62.407795,29155,44.9,2,1,4
ATCNet,subj2_rep2_fold0,0.6437,0.6383,62.407795,29155,46.5,2,2,0
ATCNet,subj2_rep2_fold1,0.7126,0.7022,62.407795,29155,44.4,2,2,1
ATCNet,subj2_rep2_fold2,0.6977,0.6904,62.407795,29155,64.6,2,2,2
ATCNet,subj2_rep2_fold3,0.7791,0.7756,62.407795,29155,80.1,2,2,3
ATCNet,subj2_rep2_fold4,0.6279,0.6035,62.407795,29155,68.8,2,2,4
ATCNet,subj2_rep3_fold0,0.7241,0.7186,62.407795,29155,55.0,2,3,0
ATCNet,subj2_rep3_fold1,0.7816,0.7739,62.407795,29155,109.1,2,3,1
ATCNet,subj2_rep3_fold2,0.6977,0.697,62.407795,29155,77.6,2,3,2
ATCNet,subj2_rep3_fold3,0.7326,0.7143,62.407795,29155,67.8,2,3,3
ATCNet,subj2_rep3_fold4,0.7326,0.7019,62.407795,29155,72.9,2,3,4
ATCNet,subj2_rep4_fold0,0.6437,0.6411,62.407795,29155,52.7,2,4,0
ATCNet,subj2_rep4_fold1,0.6782,0.6772,62.407795,29155,54.4,2,4,1
ATCNet,subj2_rep4_fold2,0.7674,0.7513,62.407795,29155,68.3,2,4,2
ATCNet,subj2_rep4_fold3,0.7093,0.7034,62.407795,29155,59.8,2,4,3
ATCNet,subj2_rep4_fold4,0.7442,0.7325,62.407795,29155,63.8,2,4,4
ATCNet,subj3_rep0_fold0,0.908,0.9078,62.407795,29155,57.5,3,0,0
ATCNet,subj3_rep0_fold1,0.9425,0.9425,62.407795,29155,54.2,3,0,1
ATCNet,subj3_rep0_fold2,0.907,0.9065,62.407795,29155,38.0,3,0,2
ATCNet,subj3_rep0_fold3,0.9186,0.919,62.407795,29155,36.0,3,0,3
ATCNet,subj3_rep0_fold4,0.9651,0.9653,62.407795,29155,79.8,3,0,4
ATCNet,subj3_rep1_fold0,0.9425,0.9425,62.407795,29155,99.9,3,1,0
ATCNet,subj3_rep1_fold1,0.954,0.9542,62.407795,29155,74.9,3,1,1
ATCNet,subj3_rep1_fold2,0.9302,0.9306,62.407795,29155,70.1,3,1,2
ATCNet,subj3_rep1_fold3,0.9535,0.954,62.407795,29155,55.3,3,1,3
ATCNet,subj3_rep1_fold4,0.9767,0.9766,62.407795,29155,68.8,3,1,4
ATCNet,subj3_rep2_fold0,0.9425,0.9425,62.407795,29155,63.1,3,2,0
ATCNet,subj3_rep2_fold1,0.954,0.9531,62.407795,29155,76.9,3,2,1
ATCNet,subj3_rep2_fold2,0.907,0.907,62.407795,29155,43.3,3,2,2
ATCNet,subj3_rep2_fold3,0.9535,0.9536,62.407795,29155,54.3,3,2,3
ATCNet,subj3_rep2_fold4,0.907,0.9071,62.407795,29155,67.9,3,2,4
